Frota veiculos novembro 2020,,,,,,,,,,,,,,,,,,,,,,,
,,"  107,585,150 ",,,,,,,,,,,,,,,,,,,,,
UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO
AM,LABREA,2444,172,0,50,3,187,24,0,0,4,1399,562,10,0,2,14,0,0,0,0,4,13
AM,MANACAPURU,18212,3083,0,390,26,1248,320,0,6,91,8907,3820,139,0,28,58,0,1,0,0,64,31
AM,MANAQUIRI,805,133,0,18,0,85,12,0,1,12,450,67,9,0,0,0,0,0,0,0,18,0
AM,MANAUS,781814,403487,0,16911,3483,82203,25968,34,1921,3062,192439,20773,8403,0,3347,12879,6,71,0,79,1126,5622
AM,MANICORE,2450,152,0,57,13,164,11,0,1,4,1214,788,24,0,3,11,0,0,0,0,1,7
AM,MARAA,591,9,0,7,0,19,6,0,0,1,402,144,0,0,0,0,0,0,0,0,3,0
AM,MAUES,5288,436,0,63,0,227,47,0,8,5,2819,1628,26,0,1,0,0,0,0,0,21,7
AM,NHAMUNDA,576,10,0,9,0,10,3,0,0,0,329,207,8,0,0,0,0,0,0,0,0,0
AM,NOVA OLINDA DO NORTE,1232,70,0,28,0,84,7,0,1,8,654,358,11,0,1,2,0,0,0,0,8,0
AM,NOVO AIRAO,1498,354,0,39,1,135,24,0,0,9,733,179,13,0,2,1,0,0,0,0,4,4
AM,NOVO ARIPUANA,924,28,0,27,0,51,4,0,0,2,609,192,8,0,1,1,0,0,0,0,1,0
AM,PARINTINS,19532,1688,0,185,2,551,106,0,15,10,9784,7016,33,0,2,6,0,3,0,0,110,21
AM,PAUINI,240,20,0,4,0,14,7,0,0,1,155,37,1,0,0,0,0,0,0,0,1,0
AM,PRESIDENTE FIGUEIREDO,7374,2052,0,347,57,964,228,0,7,58,2720,552,99,0,71,185,0,0,0,1,11,22
AM,RIO PRETO DA EVA,4851,985,0,195,26,659,106,0,13,25,2332,377,73,0,13,25,0,0,0,0,10,12
AM,SANTA ISABEL DO RIO NEGRO,422,16,0,11,0,38,6,0,0,4,223,119,3,0,0,0,0,0,0,0,1,1
AM,SANTO ANTONIO DO ICA,918,11,0,17,0,41,4,0,0,0,650,193,1,0,0,1,0,0,0,0,0,0
AM,SAO GABRIEL DA CACHOEIRA,4082,1426,0,106,1,483,62,0,3,17,1239,674,41,0,7,0,0,1,0,0,13,9
AM,SAO PAULO DE OLIVENCA,1261,13,0,11,0,28,8,0,0,0,926,268,6,0,0,0,0,0,0,0,1,0
AM,SAO SEBASTIAO DO UATUMA,314,20,0,6,0,15,0,0,0,0,216,51,1,0,0,0,0,0,0,0,5,0
AM,SILVES,475,55,0,12,0,40,10,0,0,10,224,51,4,0,0,65,0,0,0,0,4,0
AM,TABATINGA,10031,1026,0,89,0,284,120,0,3,11,4971,3467,7,0,2,1,0,1,0,0,34,15
AM,TAPAUA,586,29,0,8,0,40,5,0,1,0,343,156,2,0,0,0,0,0,0,0,2,0
AM,TEFE,12562,999,0,83,1,407,68,0,1,22,7231,3601,27,0,7,2,1,1,0,0,98,13
AM,TONANTINS,511,3,0,6,0,13,3,0,0,0,363,121,1,0,0,0,0,0,0,0,1,0
AM,UARINI,580,5,0,12,0,21,2,0,0,0,454,79,2,0,0,0,0,0,0,0,5,0
AM,URUCARA,810,31,0,24,0,54,1,0,0,3,473,213,2,0,0,0,0,0,0,0,9,0
AM,URUCURITUBA,628,27,0,9,0,30,8,0,1,0,399,144,2,0,0,0,0,0,0,0,8,0
AP,AMAPA,688,254,0,15,0,45,17,0,3,4,290,50,4,0,3,0,0,0,0,0,2,1
AP,CALCOENE,817,198,0,22,0,54,15,0,1,2,466,46,5,0,7,0,0,0,0,0,1,0
AP,CUTIAS,183,58,0,8,1,14,8,0,0,1,83,10,0,0,0,0,0,0,0,0,0,0
AP,FERREIRA GOMES,602,257,0,16,0,54,22,0,2,4,198,37,5,0,6,0,0,0,0,0,0,1
AP,ITAUBAL,178,47,0,13,0,12,3,0,1,0,94,5,3,0,0,0,0,0,0,0,0,0
AP,LARANJAL DO JARI,5580,1503,0,115,2,357,100,0,9,10,2713,693,24,0,7,11,0,0,0,0,7,29
AP,MACAPA,166647,72833,0,3172,301,19811,3901,13,749,357,51401,9968,915,0,1267,607,29,18,0,6,330,969
AP,MAZAGAO,1152,479,0,48,0,82,32,0,13,15,396,56,22,0,3,1,0,0,0,0,4,1
AP,OIAPOQUE,3738,1109,0,84,10,279,60,0,56,8,1685,369,22,0,8,16,0,0,0,0,7,25
AP,PEDRA BRANCA DO AMAPARI,761,266,0,36,1,65,43,0,0,8,252,49,27,0,6,2,0,0,0,2,3,1
AP,PORTO GRANDE,2404,815,0,74,7,160,83,0,9,6,1031,156,25,0,15,13,1,0,0,0,4,5
AP,PRACUUBA,146,55,0,9,0,13,4,0,0,1,59,1,2,0,2,0,0,0,0,0,0,0
AP,SANTANA,29609,11475,0,659,86,2826,554,1,108,53,10147,2424,335,0,155,651,20,0,0,1,46,68
AP,SERRA DO NAVIO,526,248,0,19,0,45,35,0,0,4,141,25,5,0,3,0,0,0,0,0,0,1
AP,TARTARUGALZINHO,615,161,0,32,1,47,29,0,1,7,292,34,7,0,2,2,0,0,0,0,0,0
AP,VITORIA DO JARI,426,124,0,19,1,43,5,0,0,1,184,41,4,0,0,2,0,0,0,0,1,1
BA,ABAIRA,2222,988,0,64,3,304,29,0,0,32,704,60,18,0,5,4,0,0,0,0,0,11
BA,ABARE,2690,683,0,56,1,252,22,0,0,41,1534,49,25,0,19,1,0,0,0,0,2,5
BA,ACAJUTIBA,2853,907,0,82,0,193,44,0,2,18,1259,270,25,0,46,0,0,0,0,0,2,5
BA,ADUSTINA,1764,274,0,20,1,90,4,0,0,5,1208,145,11,0,2,1,0,0,0,0,2,1
BA,AGUA FRIA,2334,838,0,42,0,107,49,0,2,23,1138,55,48,0,25,0,0,0,0,0,2,5
BA,AIQUARA,583,203,0,9,0,55,15,0,0,6,269,12,6,0,7,0,0,0,0,0,0,1
